"source","medium","visit_date","visitors_count"
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,paid,"2023-06-16",1
google,organic,"2023-06-17",3499
organic,organic,"2023-06-17",1456
yandex,paid,"2023-06-17",979
admitad,paid,"2023-06-17",72
vk,paid,"2023-06-17",66
bing.com,organic,"2023-06-17",41
telegram,paid,"2023-06-17",31
vk-senler,paid,"2023-06-17",23
baidu.com,organic,"2023-06-17",2
instagram,paid,"2023-06-17",2
yandex.com,organic,"2023-06-17",2
Yandex,paid,"2023-06-17",2
zen,paid,"2023-06-17",1
timepad,paid,"2023-06-17",1
yandex-direct,paid,"2023-06-17",1
twitter,paid,"2023-06-17",1
facebook,paid,"2023-06-17",1
google,organic,"2023-06-18",3851
yandex,paid,"2023-06-18",951
organic,organic,"2023-06-18",809
admitad,paid,"2023-06-18",78
vk,paid,"2023-06-18",52
bing.com,organic,"2023-06-18",36
telegram,paid,"2023-06-18",30
vk-senler,paid,"2023-06-18",30
Yandex,paid,"2023-06-18",3
zen,paid,"2023-06-18",2
twitter,paid,"2023-06-18",2
vc,paid,"2023-06-18",2
yandex-direct,paid,"2023-06-18",1
vk.com,paid,"2023-06-18",1
vkontakte,paid,"2023-06-18",1
baidu.com,organic,"2023-06-18",1
zen_from_telegram,paid,"2023-06-18",1
facebook,paid,"2023-06-18",1
partners,paid,"2023-06-18",1
organic,organic,"2023-06-19",1154
yandex,paid,"2023-06-19",1035
google,organic,"2023-06-19",502
vk,paid,"2023-06-19",88
admitad,paid,"2023-06-19",70
bing.com,organic,"2023-06-19",54
telegram,paid,"2023-06-19",24
vk-senler,paid,"2023-06-19",23
twitter,paid,"2023-06-19",5
timepad,paid,"2023-06-19",3
instagram,paid,"2023-06-19",3
twitter.com,paid,"2023-06-19",3
zen,paid,"2023-06-19",3
yandex.com,organic,"2023-06-19",2
go.mail.ru,organic,"2023-06-19",2
Yandex,paid,"2023-06-19",2
dzen,paid,"2023-06-19",1
search.ukr.net,organic,"2023-06-19",1
vc,paid,"2023-06-19",1
google,organic,"2023-06-20",6348
organic,organic,"2023-06-20",2049
yandex,paid,"2023-06-20",1013
vk,paid,"2023-06-20",82
admitad,paid,"2023-06-20",78
bing.com,organic,"2023-06-20",44
telegram,paid,"2023-06-20",29
instagram,paid,"2023-06-20",23
vk-senler,paid,"2023-06-20",19
yandex.com,organic,"2023-06-20",4
yandex-direct,paid,"2023-06-20",3
go.mail.ru,organic,"2023-06-20",2
timepad,paid,"2023-06-20",1
Yandex,paid,"2023-06-20",1
twitter,paid,"2023-06-20",1
zen,paid,"2023-06-20",1
baidu.com,organic,"2023-06-20",1
vc,paid,"2023-06-20",1
twitter.com,paid,"2023-06-20",1
vk.com,paid,"2023-06-20",1
organic,organic,"2023-06-21",1287
google,organic,"2023-06-21",1060
yandex,paid,"2023-06-21",975
vk,paid,"2023-06-21",98
admitad,paid,"2023-06-21",79
telegram,paid,"2023-06-21",47
bing.com,organic,"2023-06-21",45
vk-senler,paid,"2023-06-21",16
instagram,paid,"2023-06-21",13
yandex.com,organic,"2023-06-21",8
zen,paid,"2023-06-21",3
Yandex,paid,"2023-06-21",2
facebook,paid,"2023-06-21",2
twitter,paid,"2023-06-21",2
yandex-direct,paid,"2023-06-21",1
vk.com,paid,"2023-06-21",1
dzen,paid,"2023-06-21",1
vk-group,paid,"2023-06-21",1
zen_from_telegram,paid,"2023-06-21",1
tg,paid,"2023-06-21",1
google,organic,"2023-06-22",3601
organic,organic,"2023-06-22",1196
yandex,paid,"2023-06-22",1060
admitad,paid,"2023-06-22",99
vk,paid,"2023-06-22",95
bing.com,organic,"2023-06-22",48
telegram,paid,"2023-06-22",27
vk-senler,paid,"2023-06-22",23
yandex.com,organic,"2023-06-22",5
baidu.com,organic,"2023-06-22",5
zen,paid,"2023-06-22",3
dzen,paid,"2023-06-22",3
facebook,paid,"2023-06-22",2
twitter,paid,"2023-06-22",2
instagram,paid,"2023-06-22",2
tg,paid,"2023-06-22",2
timepad,paid,"2023-06-22",1
mytarget,paid,"2023-06-22",1
yandex-direct,paid,"2023-06-22",1
podcast,paid,"2023-06-22",1
zen_from_telegram,paid,"2023-06-22",1
vk-group,paid,"2023-06-22",1
google,organic,"2023-06-23",5180
organic,organic,"2023-06-23",1669
yandex,paid,"2023-06-23",1176
telegram,paid,"2023-06-23",95
vk,paid,"2023-06-23",95
admitad,paid,"2023-06-23",61
bing.com,organic,"2023-06-23",39
vk-senler,paid,"2023-06-23",20
timepad,paid,"2023-06-23",4
yandex.com,organic,"2023-06-23",3
instagram,paid,"2023-06-23",2
facebook,paid,"2023-06-23",2
twitter,paid,"2023-06-23",2
zen,paid,"2023-06-23",2
search.ukr.net,organic,"2023-06-23",1
google,organic,"2023-06-24",2746
organic,organic,"2023-06-24",1225
yandex,paid,"2023-06-24",1043
vk,paid,"2023-06-24",91
telegram,paid,"2023-06-24",68
admitad,paid,"2023-06-24",60
bing.com,organic,"2023-06-24",32
vk-senler,paid,"2023-06-24",9
baidu.com,organic,"2023-06-24",4
yandex.com,organic,"2023-06-24",2
yandex-direct,paid,"2023-06-24",1
timepad,paid,"2023-06-24",1
twitter,paid,"2023-06-24",1
facebook,paid,"2023-06-24",1
go.mail.ru,organic,"2023-06-24",1
google,organic,"2023-06-25",3550
organic,organic,"2023-06-25",1516
yandex,paid,"2023-06-25",993
vk,paid,"2023-06-25",106
admitad,paid,"2023-06-25",79
telegram,paid,"2023-06-25",44
bing.com,organic,"2023-06-25",31
vk-senler,paid,"2023-06-25",5
yandex.com,organic,"2023-06-25",3
go.mail.ru,organic,"2023-06-25",2
timepad,paid,"2023-06-25",2
vkontakte,paid,"2023-06-25",1
instagram,paid,"2023-06-25",1
twitter,paid,"2023-06-25",1
baidu.com,organic,"2023-06-25",1
zen,paid,"2023-06-25",1
google,organic,"2023-06-26",5764
organic,organic,"2023-06-26",1137
yandex,paid,"2023-06-26",1040
telegram,paid,"2023-06-26",168
admitad,paid,"2023-06-26",101
vk,paid,"2023-06-26",99
bing.com,organic,"2023-06-26",49
vk-senler,paid,"2023-06-26",18
facebook,paid,"2023-06-26",5
baidu.com,organic,"2023-06-26",3
instagram,paid,"2023-06-26",3
zen,paid,"2023-06-26",2
yandex.com,organic,"2023-06-26",1
search.ukr.net,organic,"2023-06-26",1
dzen,paid,"2023-06-26",1
podcast,paid,"2023-06-26",1
twitter,paid,"2023-06-26",1
google,organic,"2023-06-27",5965
organic,organic,"2023-06-27",1863
yandex,paid,"2023-06-27",1051
telegram,paid,"2023-06-27",90
vk,paid,"2023-06-27",78
admitad,paid,"2023-06-27",76
bing.com,organic,"2023-06-27",50
vk-senler,paid,"2023-06-27",25
twitter,paid,"2023-06-27",6
yandex.com,organic,"2023-06-27",4
facebook,paid,"2023-06-27",4
partners,paid,"2023-06-27",2
dzen,paid,"2023-06-27",1
zen,paid,"2023-06-27",1
yandex-direct,paid,"2023-06-27",1
Yandex,paid,"2023-06-27",1
instagram,paid,"2023-06-27",1
vk-group,paid,"2023-06-27",1
google,organic,"2023-06-28",5701
organic,organic,"2023-06-28",1797
yandex,paid,"2023-06-28",975
telegram,paid,"2023-06-28",105
admitad,paid,"2023-06-28",101
vk,paid,"2023-06-28",92
bing.com,organic,"2023-06-28",44
vk-senler,paid,"2023-06-28",16
facebook,paid,"2023-06-28",5
twitter,paid,"2023-06-28",3
instagram,paid,"2023-06-28",2
mytarget,paid,"2023-06-28",2
telegram.me,paid,"2023-06-28",2
yandex.com,organic,"2023-06-28",1
partners,paid,"2023-06-28",1
Yandex,paid,"2023-06-28",1
vk-group,paid,"2023-06-28",1
google,organic,"2023-06-29",5921
organic,organic,"2023-06-29",1179
yandex,paid,"2023-06-29",994
telegram,paid,"2023-06-29",113
vk,paid,"2023-06-29",97
admitad,paid,"2023-06-29",72
vk-senler,paid,"2023-06-29",68
bing.com,organic,"2023-06-29",41
yandex.com,organic,"2023-06-29",3
instagram,paid,"2023-06-29",2
vc,paid,"2023-06-29",2
partners,paid,"2023-06-29",2
twitter,paid,"2023-06-29",1
go.mail.ru,organic,"2023-06-29",1
twitter.com,paid,"2023-06-29",1
timepad,paid,"2023-06-29",1
facebook,paid,"2023-06-29",1
organic,organic,"2023-06-30",1068
yandex,paid,"2023-06-30",1008
google,organic,"2023-06-30",777
telegram,paid,"2023-06-30",91
vk,paid,"2023-06-30",85
admitad,paid,"2023-06-30",72
bing.com,organic,"2023-06-30",47
vk-senler,paid,"2023-06-30",31
facebook,paid,"2023-06-30",4
twitter,paid,"2023-06-30",2
tg,paid,"2023-06-30",1
social,paid,"2023-06-30",1
partners,paid,"2023-06-30",1
yandex.com,organic,"2023-06-30",1
zen,paid,"2023-06-30",1
vkontakte,paid,"2023-06-30",1
rutube,paid,"2023-06-30",1
telegram.me,paid,"2023-06-30",1
baidu.com,organic,"2023-06-30",1
