"source","medium","campaign","visitors_count"
telegram.me,social,pochemu-funktsiya-vozvraschaet-rezultat--p,1
telegram.me,social,printsipy-programmirovaniya-heksletahttp,1
telegram.me,social,voshozhdenie-po-beskonechnoy-lestnitse-abst,1
telegram.me,social,vsyo--chto-nuzhno-znat--chtoby-spat-kachest,1
tg,social,codecamp,1
tg,social,internship_summer23,1
tg,social,newdirections,1
twitter,social,"51-letniy-student-heksleta-dmitriy-rassk",1
twitter,social,"9-marta-v-1930-po-moskovskomu-vremeni-p",1
twitter,social,analitik-dannyh,1
twitter,social,how-to-sleep,1
twitter,social,my-poprosili-nastavnikov-heksleta-rasska,1
twitter,social,my-to--chto-my-skrollim-kak-programmistu,1
twitter,social,obuchenie-programmirovaniyu-v-30 -let-pod,1
twitter,social,oop-i-arhitektura-koda-kirill-mokevni,1
twitter,social,podrobno-rasskazyvaem--pochemu-pleysholde,1
twitter,social,v-etoy-statie-my-dadim-neskolko-sovetov,1
twitter,social,v-kontse-yanvarya-praktika-heksleta-ne-rabo,1
twitter,social,webinars,1
twitter.com,social,chto-napisat-v-soprovoditelnom-pisme-i,1
twitter.com,social,svezhiy-vzglyad-na-prohozhdenie-proektov-ot,1
vk,cpc,base,1
Yandex,cpc,"02284027",1
vk,cpc,java,1
vk,cpc,prof-qa,1
vk,cpc,python,1
vk,cpm,base_python,1
vk,cpm,php,1
vk,cpm,prof-python,1
vk,cpp,dod-career,1
vk,cpp,dod-professions,1
vk,cpp,dod-qa,1
vk,social,"8-statey--kotorye-budut-polezny-novichku",1
vk,social,base-html,1
vk,social,base-php,1
vk,social,english-soft,1
vk,social,kak-dzhunu-napisat-soprovoditelnoe-pis,1
vk,social,matematika-ilnar,1
vk,social,open_lectures23,1
vk,social,prof-data-analyst,1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,1
vk,social,unpack,1
vk-group,cpc,dod-qa,1
vk-senler,cpc,dod-python-java,1
vk.com,social,na-hekslete-poyavilas-novaya-professiya-v,1
vk.com,social,skolko-stoit-obuchenie-na-hekslete-dlya,1
yandex-direct,cpc,"08062768",1
yandex-direct,cpc,"16645437",1
yandex-direct,cpc,"18177858",1
yandex-direct,cpc,"19183657",1
yandex-direct,cpc,"26593528",1
yandex-direct,cpc,"26980930",1
yandex-direct,cpc,"34668848",1
yandex-direct,cpc,"50088205",1
yandex-direct,cpc,"51752512",1
yandex-direct,cpc,"57063851",1
yandex-direct,cpc,"68583881",1
yandex-direct,cpc,"70989018",1
yandex-direct,cpc,"71522986",1
yandex-direct,cpc,"85838400",1
yandex-direct,cpc,"96566756",1
yandex-direct,cpc,"97574364",1
yandex-direct,cpm,"00788899",1
zen,social,blog,1
zen,social,prof-data-analyst,1
