"visit_date","utm_source","utm_medium","utm_campaign","cpu"
"2023-06-15",vk,cpc,prof-data-analytics,507.11
"2023-06-15",yandex,cpc,dod-python-java,455.40
"2023-06-15",vk,cpc,freemium-java,423.00
"2023-06-15",yandex,cpc,prof-frontend,421.77
"2023-06-15",vk,cpc,freemium-frontend,362.00
"2023-06-15",vk,cpc,freemium-python,281.78
"2023-06-15",yandex,cpc,prof-python,269.12
"2023-06-15",yandex,cpc,prof-java,268.48
"2023-06-15",yandex,cpc,prof-data-analytics,234.14
"2023-06-15",yandex,cpc,dod-professions,230.88
"2023-06-15",yandex,cpc,prof-professions-brand,112.47
"2023-06-15",yandex,cpc,freemium,64.36
"2023-06-15",yandex,cpc,prof-professions-retarget,47.78
"2023-06-15",yandex,cpc,dod-frontend,45.40
"2023-06-16",vk,cpc,prof-frontend,682.25
"2023-06-16",yandex,cpc,dod-python-java,651.80
"2023-06-16",vk,cpc,freemium-frontend,633.75
"2023-06-16",vk,cpc,freemium-python,507.40
"2023-06-16",vk,cpc,prof-java,491.89
"2023-06-16",vk,cpc,prof-python,449.08
"2023-06-16",yandex,cpc,prof-frontend,430.18
"2023-06-16",vk,cpc,prof-data-analytics,353.38
"2023-06-16",vk,cpc,freemium-java,342.57
"2023-06-16",yandex,cpc,prof-java,325.53
"2023-06-16",yandex,cpc,prof-python,233.42
"2023-06-16",yandex,cpc,dod-professions,205.13
"2023-06-16",yandex,cpc,prof-data-analytics,142.97
"2023-06-16",yandex,cpc,prof-professions-brand,120.71
"2023-06-16",yandex,cpc,freemium,76.88
"2023-06-16",yandex,cpc,prof-professions-retarget,31.00
"2023-06-17",vk,cpc,prof-data-analytics,1065.40
"2023-06-17",vk,cpc,prof-python,920.25
"2023-06-17",vk,cpc,prof-frontend,710.57
"2023-06-17",vk,cpc,prof-java,687.33
"2023-06-17",vk,cpc,freemium-python,634.25
"2023-06-17",vk,cpc,freemium-frontend,634.00
"2023-06-17",yandex,cpc,prof-frontend,453.57
"2023-06-17",vk,cpc,freemium-java,304.40
"2023-06-17",yandex,cpc,prof-python,259.42
"2023-06-17",yandex,cpc,dod-python-java,237.56
"2023-06-17",yandex,cpc,prof-data-analytics,225.38
"2023-06-17",yandex,cpc,prof-java,210.00
"2023-06-17",yandex,cpc,dod-professions,190.80
"2023-06-17",yandex,cpc,freemium,72.07
"2023-06-17",yandex,cpc,prof-professions-brand,66.86
"2023-06-17",yandex,cpc,prof-professions-retarget,50.14
"2023-06-18",vk,cpc,prof-frontend,1456.00
"2023-06-18",vk,cpc,prof-python,1147.75
"2023-06-18",vk,cpc,prof-java,777.17
"2023-06-18",yandex,cpc,dod-professions,531.29
"2023-06-18",vk,cpc,freemium-frontend,507.00
"2023-06-18",vk,cpc,freemium-python,422.67
"2023-06-18",yandex,cpc,dod-python-java,421.75
"2023-06-18",vk,cpc,prof-data-analytics,397.67
"2023-06-18",yandex,cpc,prof-frontend,340.98
"2023-06-18",yandex,cpc,prof-java,257.70
"2023-06-18",yandex,cpc,prof-python,240.69
"2023-06-18",yandex,cpc,prof-data-analytics,238.74
"2023-06-18",yandex,cpc,freemium,76.70
"2023-06-18",yandex,cpc,prof-professions-brand,64.71
"2023-06-18",yandex,cpc,prof-professions-retarget,59.64
"2023-06-19",vk,cpc,freemium-frontend,1268.00
"2023-06-19",vk,cpc,freemium-java,807.67
"2023-06-19",vk,cpc,prof-data-analytics,665.75
"2023-06-19",yandex,cpc,dod-professions,613.83
"2023-06-19",vk,cpc,prof-frontend,564.22
"2023-06-19",vk,cpc,prof-java,546.90
"2023-06-19",yandex,cpc,prof-frontend,540.49
"2023-06-19",vk,cpc,prof-python,328.93
"2023-06-19",vk,cpc,freemium-python,309.88
"2023-06-19",yandex,cpc,dod-python-java,251.50
"2023-06-19",yandex,cpc,prof-python,248.59
"2023-06-19",yandex,cpc,prof-java,245.71
"2023-06-19",yandex,cpc,prof-data-analytics,172.80
"2023-06-19",yandex,cpc,freemium,72.02
"2023-06-19",yandex,cpc,prof-professions-brand,69.13
"2023-06-19",yandex,cpc,prof-professions-retarget,58.72
"2023-06-20",vk,cpc,prof-frontend,1692.67
"2023-06-20",vk,cpc,prof-data-analytics,988.20
"2023-06-20",vk,cpc,freemium-python,709.00
"2023-06-20",vk,cpc,prof-java,650.63
"2023-06-20",yandex,cpc,prof-frontend,463.17
"2023-06-20",vk,cpc,prof-python,449.15
"2023-06-20",yandex,cpc,dod-professions,377.76
"2023-06-20",yandex,cpc,dod-python-java,326.90
"2023-06-20",vk,cpc,freemium-java,317.25
"2023-06-20",vk,cpc,freemium-frontend,259.18
"2023-06-20",yandex,cpc,prof-python,250.30
"2023-06-20",yandex,cpc,prof-java,235.82
"2023-06-20",yandex,cpc,prof-data-analytics,178.82
"2023-06-20",yandex,cpc,base-java,71.79
"2023-06-20",yandex,cpc,prof-professions-brand,69.43
"2023-06-20",yandex,cpc,freemium,66.71
"2023-06-20",yandex,cpc,prof-professions-retarget,29.04
"2023-06-21",vk,cpc,prof-java,657.13
"2023-06-21",vk,cpc,prof-frontend,564.33
"2023-06-21",vk,cpc,prof-data-analytics,468.46
"2023-06-21",yandex,cpc,prof-frontend,460.39
"2023-06-21",vk,cpc,freemium-python,438.60
