"visit_date","utm_source","utm_medium","utm_campaign","roi"
"2023-06-14",yandex,cpc,prof-python,
"2023-06-15",vk,cpc,freemium-frontend,
"2023-06-15",vk,cpc,freemium-java,
"2023-06-15",vk,cpc,freemium-python,
"2023-06-15",vk,cpc,prof-data-analytics,
"2023-06-15",vk,cpc,prof-frontend,
"2023-06-15",vk,cpc,prof-java,
"2023-06-15",vk,cpc,prof-python,
"2023-06-15",yandex,cpc,dod-frontend,
"2023-06-15",yandex,cpc,dod-professions,
"2023-06-15",yandex,cpc,dod-python-java,
"2023-06-15",yandex,cpc,freemium,
"2023-06-15",yandex,cpc,prof-data-analytics,
"2023-06-15",yandex,cpc,prof-frontend,
"2023-06-15",yandex,cpc,prof-java,
"2023-06-15",yandex,cpc,prof-professions-brand,
"2023-06-15",yandex,cpc,prof-professions-retarget,
"2023-06-15",yandex,cpc,prof-python,
"2023-06-16",vk,cpc,freemium-frontend,
"2023-06-16",vk,cpc,freemium-java,
"2023-06-16",vk,cpc,freemium-python,
"2023-06-16",vk,cpc,prof-data-analytics,
"2023-06-16",vk,cpc,prof-frontend,
"2023-06-16",vk,cpc,prof-java,
"2023-06-16",vk,cpc,prof-python,
"2023-06-16",yandex,cpc,dod-professions,
"2023-06-16",yandex,cpc,dod-python-java,
"2023-06-16",yandex,cpc,freemium,
"2023-06-16",yandex,cpc,prof-data-analytics,
"2023-06-16",yandex,cpc,prof-frontend,
"2023-06-16",yandex,cpc,prof-java,
"2023-06-16",yandex,cpc,prof-professions-brand,
"2023-06-16",yandex,cpc,prof-professions-retarget,
"2023-06-16",yandex,cpc,prof-python,
"2023-06-17",vk,cpc,freemium-frontend,
"2023-06-17",vk,cpc,freemium-java,
"2023-06-17",vk,cpc,freemium-python,
"2023-06-17",vk,cpc,prof-data-analytics,
"2023-06-17",vk,cpc,prof-frontend,
"2023-06-17",vk,cpc,prof-java,
"2023-06-17",vk,cpc,prof-python,
"2023-06-17",yandex,cpc,dod-professions,
"2023-06-17",yandex,cpc,dod-python-java,
"2023-06-17",yandex,cpc,freemium,
"2023-06-17",yandex,cpc,prof-data-analytics,
"2023-06-17",yandex,cpc,prof-frontend,
"2023-06-17",yandex,cpc,prof-java,
"2023-06-17",yandex,cpc,prof-professions-brand,
"2023-06-17",yandex,cpc,prof-professions-retarget,
"2023-06-17",yandex,cpc,prof-python,
"2023-06-18",vk,cpc,freemium-frontend,
"2023-06-18",vk,cpc,freemium-python,
"2023-06-18",vk,cpc,prof-data-analytics,
"2023-06-18",vk,cpc,prof-frontend,
"2023-06-18",vk,cpc,prof-java,
"2023-06-18",vk,cpc,prof-python,
"2023-06-18",yandex,cpc,dod-professions,
"2023-06-18",yandex,cpc,dod-python-java,
"2023-06-18",yandex,cpc,freemium,
"2023-06-18",yandex,cpc,prof-data-analytics,
"2023-06-18",yandex,cpc,prof-frontend,
"2023-06-18",yandex,cpc,prof-java,
"2023-06-18",yandex,cpc,prof-professions-brand,
"2023-06-18",yandex,cpc,prof-professions-retarget,
"2023-06-18",yandex,cpc,prof-python,
"2023-06-19",vk,cpc,freemium-frontend,
"2023-06-19",vk,cpc,freemium-java,
"2023-06-19",vk,cpc,freemium-python,
"2023-06-19",vk,cpc,prof-data-analytics,
"2023-06-19",vk,cpc,prof-frontend,
"2023-06-19",vk,cpc,prof-java,
"2023-06-19",vk,cpc,prof-python,
"2023-06-19",yandex,cpc,dod-professions,
"2023-06-19",yandex,cpc,dod-python-java,
"2023-06-19",yandex,cpc,freemium,
"2023-06-19",yandex,cpc,prof-data-analytics,
"2023-06-19",yandex,cpc,prof-frontend,
"2023-06-19",yandex,cpc,prof-java,
"2023-06-19",yandex,cpc,prof-professions-brand,
"2023-06-19",yandex,cpc,prof-professions-retarget,
"2023-06-19",yandex,cpc,prof-python,
"2023-06-20",vk,cpc,freemium-frontend,
"2023-06-20",vk,cpc,freemium-java,
"2023-06-20",vk,cpc,freemium-python,
"2023-06-20",vk,cpc,prof-data-analytics,
"2023-06-20",vk,cpc,prof-frontend,
"2023-06-20",vk,cpc,prof-java,
"2023-06-20",vk,cpc,prof-python,
"2023-06-20",yandex,cpc,base-java,
"2023-06-20",yandex,cpc,dod-professions,
"2023-06-20",yandex,cpc,dod-python-java,
"2023-06-20",yandex,cpc,freemium,
"2023-06-20",yandex,cpc,prof-data-analytics,
"2023-06-20",yandex,cpc,prof-frontend,
"2023-06-20",yandex,cpc,prof-java,
"2023-06-20",yandex,cpc,prof-professions-brand,
"2023-06-20",yandex,cpc,prof-professions-retarget,
"2023-06-20",yandex,cpc,prof-python,
"2023-06-21",vk,cpc,freemium-frontend,
"2023-06-21",vk,cpc,freemium-java,
"2023-06-21",vk,cpc,freemium-python,
"2023-06-21",vk,cpc,prof-data-analytics,
"2023-06-21",vk,cpc,prof-frontend,
"2023-06-21",vk,cpc,prof-java,
"2023-06-21",vk,cpc,prof-python,
"2023-06-21",yandex,cpc,base-java,
"2023-06-21",yandex,cpc,base-python,
"2023-06-21",yandex,cpc,dod-python-java,
"2023-06-21",yandex,cpc,freemium,
"2023-06-21",yandex,cpc,prof-data-analytics,
"2023-06-21",yandex,cpc,prof-frontend,
"2023-06-21",yandex,cpc,prof-java,
"2023-06-21",yandex,cpc,prof-professions-brand,
"2023-06-21",yandex,cpc,prof-professions-retarget,
"2023-06-21",yandex,cpc,prof-python,
"2023-06-22",vk,cpc,freemium-frontend,
"2023-06-22",vk,cpc,freemium-java,
"2023-06-22",vk,cpc,freemium-python,
"2023-06-22",vk,cpc,prof-data-analytics,
"2023-06-22",vk,cpc,prof-frontend,
"2023-06-22",vk,cpc,prof-java,
"2023-06-22",vk,cpc,prof-python,
"2023-06-22",yandex,cpc,base-java,
"2023-06-22",yandex,cpc,base-python,
"2023-06-22",yandex,cpc,dod-python-java,
"2023-06-22",yandex,cpc,freemium,
"2023-06-22",yandex,cpc,prof-data-analytics,
"2023-06-22",yandex,cpc,prof-frontend,
"2023-06-22",yandex,cpc,prof-java,
"2023-06-22",yandex,cpc,prof-professions-brand,
"2023-06-22",yandex,cpc,prof-professions-retarget,
"2023-06-22",yandex,cpc,prof-python,
"2023-06-23",vk,cpc,base-python,
"2023-06-23",vk,cpc,freemium-frontend,
"2023-06-23",vk,cpc,freemium-java,
"2023-06-23",vk,cpc,freemium-python,
"2023-06-23",vk,cpc,prof-data-analytics,
"2023-06-23",vk,cpc,prof-frontend,
"2023-06-23",vk,cpc,prof-java,
"2023-06-23",vk,cpc,prof-python,
"2023-06-23",yandex,cpc,base-java,
"2023-06-23",yandex,cpc,base-python,
"2023-06-23",yandex,cpc,dod-python-java,
"2023-06-23",yandex,cpc,freemium,
"2023-06-23",yandex,cpc,prof-data-analytics,
"2023-06-23",yandex,cpc,prof-frontend,
"2023-06-23",yandex,cpc,prof-java,
"2023-06-23",yandex,cpc,prof-professions-brand,
"2023-06-23",yandex,cpc,prof-professions-retarget,
"2023-06-23",yandex,cpc,prof-python,
"2023-06-24",vk,cpc,base-python,
"2023-06-24",vk,cpc,freemium-frontend,
"2023-06-24",vk,cpc,freemium-java,
"2023-06-24",vk,cpc,freemium-python,
"2023-06-24",vk,cpc,prof-data-analytics,
"2023-06-24",vk,cpc,prof-frontend,
"2023-06-24",vk,cpc,prof-java,
"2023-06-24",vk,cpc,prof-python,
"2023-06-24",yandex,cpc,base-java,
"2023-06-24",yandex,cpc,base-python,
"2023-06-24",yandex,cpc,freemium,
"2023-06-24",yandex,cpc,prof-data-analytics,
"2023-06-24",yandex,cpc,prof-frontend,
"2023-06-24",yandex,cpc,prof-java,
"2023-06-24",yandex,cpc,prof-professions-brand,
"2023-06-24",yandex,cpc,prof-professions-retarget,
"2023-06-24",yandex,cpc,prof-python,
"2023-06-25",vk,cpc,base-python,
"2023-06-25",vk,cpc,freemium-frontend,
"2023-06-25",vk,cpc,freemium-java,
"2023-06-25",vk,cpc,freemium-python,
"2023-06-25",vk,cpc,prof-data-analytics,
"2023-06-25",vk,cpc,prof-frontend,
"2023-06-25",vk,cpc,prof-java,
"2023-06-25",vk,cpc,prof-python,
"2023-06-25",yandex,cpc,base-java,
"2023-06-25",yandex,cpc,base-python,
"2023-06-25",yandex,cpc,freemium,
"2023-06-25",yandex,cpc,prof-data-analytics,
"2023-06-25",yandex,cpc,prof-frontend,
"2023-06-25",yandex,cpc,prof-java,
"2023-06-25",yandex,cpc,prof-professions-brand,
"2023-06-25",yandex,cpc,prof-professions-retarget,
"2023-06-25",yandex,cpc,prof-python,
"2023-06-26",vk,cpc,base-python,
"2023-06-26",vk,cpc,freemium-frontend,
"2023-06-26",vk,cpc,freemium-java,
"2023-06-26",vk,cpc,freemium-python,
"2023-06-26",vk,cpc,prof-data-analytics,
"2023-06-26",vk,cpc,prof-frontend,
"2023-06-26",vk,cpc,prof-java,
"2023-06-26",vk,cpc,prof-python,
"2023-06-26",yandex,cpc,base-java,
"2023-06-26",yandex,cpc,base-python,
"2023-06-26",yandex,cpc,freemium,
"2023-06-26",yandex,cpc,prof-data-analytics,
"2023-06-26",yandex,cpc,prof-frontend,
"2023-06-26",yandex,cpc,prof-java,
"2023-06-26",yandex,cpc,prof-professions-brand,
"2023-06-26",yandex,cpc,prof-professions-retarget,
"2023-06-26",yandex,cpc,prof-python,
"2023-06-27",vk,cpc,base-python,
"2023-06-27",vk,cpc,freemium-frontend,
"2023-06-27",vk,cpc,freemium-java,
"2023-06-27",vk,cpc,freemium-python,
"2023-06-27",vk,cpc,prof-frontend,
"2023-06-27",vk,cpc,prof-java,
"2023-06-27",vk,cpc,prof-python,
"2023-06-27",yandex,cpc,base-java,
"2023-06-27",yandex,cpc,base-python,
"2023-06-27",yandex,cpc,freemium,
"2023-06-27",yandex,cpc,prof-data-analytics,
"2023-06-27",yandex,cpc,prof-frontend,
"2023-06-27",yandex,cpc,prof-java,
"2023-06-27",yandex,cpc,prof-professions-brand,
"2023-06-27",yandex,cpc,prof-professions-retarget,
"2023-06-27",yandex,cpc,prof-python,
"2023-06-28",vk,cpc,base-python,
"2023-06-28",vk,cpc,freemium-frontend,
"2023-06-28",vk,cpc,freemium-java,
"2023-06-28",vk,cpc,freemium-python,
"2023-06-28",vk,cpc,prof-data-analytics,
"2023-06-28",vk,cpc,prof-frontend,
"2023-06-28",vk,cpc,prof-java,
"2023-06-28",vk,cpc,prof-python,
"2023-06-28",yandex,cpc,base-java,
"2023-06-28",yandex,cpc,base-python,
"2023-06-28",yandex,cpc,dod-qa,
"2023-06-28",yandex,cpc,freemium,
"2023-06-28",yandex,cpc,prof-data-analytics,
"2023-06-28",yandex,cpc,prof-frontend,
"2023-06-28",yandex,cpc,prof-java,
"2023-06-28",yandex,cpc,prof-professions-brand,
"2023-06-28",yandex,cpc,prof-professions-retarget,
"2023-06-28",yandex,cpc,prof-python,
"2023-06-29",vk,cpc,base-python,
"2023-06-29",vk,cpc,freemium-frontend,
"2023-06-29",vk,cpc,freemium-java,
"2023-06-29",vk,cpc,freemium-python,
"2023-06-29",vk,cpc,prof-frontend,
"2023-06-29",vk,cpc,prof-java,
"2023-06-29",vk,cpc,prof-python,
"2023-06-29",yandex,cpc,base-frontend,
"2023-06-29",yandex,cpc,base-java,
"2023-06-29",yandex,cpc,base-professions-retarget,
"2023-06-29",yandex,cpc,base-python,
"2023-06-29",yandex,cpc,dod-qa,
"2023-06-29",yandex,cpc,freemium,
"2023-06-29",yandex,cpc,prof-frontend,
"2023-06-29",yandex,cpc,prof-java,
"2023-06-29",yandex,cpc,prof-professions-brand,
"2023-06-29",yandex,cpc,prof-professions-retarget,
"2023-06-29",yandex,cpc,prof-python,
"2023-06-30",vk,cpc,base-python,
"2023-06-30",vk,cpc,freemium-frontend,
"2023-06-30",vk,cpc,freemium-java,
"2023-06-30",vk,cpc,freemium-python,
"2023-06-30",vk,cpc,prof-frontend,
"2023-06-30",vk,cpc,prof-java,
"2023-06-30",vk,cpc,prof-python,
"2023-06-30",yandex,cpc,base-frontend,
"2023-06-30",yandex,cpc,base-java,
"2023-06-30",yandex,cpc,base-professions-retarget,
"2023-06-30",yandex,cpc,base-python,
"2023-06-30",yandex,cpc,dod-qa,
"2023-06-30",yandex,cpc,freemium,
"2023-06-30",yandex,cpc,prof-frontend,
"2023-06-30",yandex,cpc,prof-java,
"2023-06-30",yandex,cpc,prof-professions-brand,
"2023-06-30",yandex,cpc,prof-professions-retarget,
"2023-06-30",yandex,cpc,prof-python,
