"source","medium","campaign","visit_date","visitors_count"
yandex.com,organic,,"2023-06-05",3
zen,social,hexlet-blog,"2023-06-05",2
vc,cpp,dod-frontend,"2023-06-05",2
vk,social,dod-php,"2023-06-05",2
telegram,cpp,prof-frontend,"2023-06-05",2
vk,social,general,"2023-06-05",1
Yandex,cpc,"67652027","2023-06-05",1
twitter,social,promo,"2023-06-05",1
vc,cpp,dod-php,"2023-06-05",1
admitad,cpc,"442763","2023-06-05",1
baidu.com,organic,,"2023-06-05",1
yandex-direct,cpc,"08062768","2023-06-05",1
facebook,cpc,frontend,"2023-06-05",1
google,cpc,frontend,"2023-06-05",1
vk-senler,cpc,dod-professions,"2023-06-05",1
telegram.me,social,kogda-to-ya-poobeschal-napisat-prodolzhenie,"2023-06-05",1
instagram,social,prof-data-analyst,"2023-06-05",1
telegram.me,social,kak-rabotaet-npm-install-i-npm-update-v,"2023-06-05",1
vk,social,prof-frontend,"2023-06-05",1
vk,social,prof-data-analyst,"2023-06-05",1
vk,social,planiruy-uchebu--fokusiruysya-na-protsesse,"2023-06-05",1
mytarget,cpc,retarget,"2023-06-05",1
vk,social,dod-professions,"2023-06-05",1
podcast,social,unpack,"2023-06-05",1
search.ukr.net,organic,,"2023-06-05",1
telegram,cpm,base,"2023-06-05",1
vk,social,dod-java,"2023-06-05",1
telegram,cpm,frontend,"2023-06-05",1
vk,social,base-frontend,"2023-06-05",1
vk,cpp,dod-frontend,"2023-06-05",1
Yandex,cpc,"16951197","2023-06-05",1
vk,cpm,base,"2023-06-05",1
telegram,social,kak_gumanitariyu_popast-v_it,"2023-06-05",1
google,organic,,"2023-06-06",6454
organic,organic,,"2023-06-06",1466
vk,cpc,prof-python,"2023-06-06",188
vk,cpc,freemium-frontend,"2023-06-06",179
vk,cpc,prof-java,"2023-06-06",159
vk,cpc,freemium-java,"2023-06-06",140
vk,cpc,prof-data-analytics,"2023-06-06",135
vk,cpc,base-python,"2023-06-06",121
vk,cpc,prof-frontend,"2023-06-06",111
vk,cpc,freemium-python,"2023-06-06",107
telegram,cpp,base-frontend,"2023-06-06",55
admitad,cpa,admitad,"2023-06-06",53
bing.com,organic,,"2023-06-06",45
telegram,cpp,base-python,"2023-06-06",30
vk-senler,cpc,freemium,"2023-06-06",22
telegram,cpp,base-java,"2023-06-06",15
vk,cpm,prof-data-analytics,"2023-06-06",14
tproger,cpc,dod-frontend,"2023-06-06",8
vk,cpp,base-frontend,"2023-06-06",7
telegram,social,course_completed,"2023-06-06",6
vk,social,base-java,"2023-06-06",5
vk,cpp,dod-php,"2023-06-06",5
baidu.com,organic,,"2023-06-06",5
vk,social,general,"2023-06-06",4
yandex.com,organic,,"2023-06-06",4
telegram,cpp,prof-python,"2023-06-06",4
telegram,cpp,dod-java,"2023-06-06",4
vk,social,prof-frontend,"2023-06-06",3
vk,social,all-courses,"2023-06-06",3
telegram,cpp,prof-java,"2023-06-06",3
vk,cpc,freemium,"2023-06-06",3
vc,cpp,dod-frontend,"2023-06-06",2
vk,social,base-python,"2023-06-06",2
google,cpc,frontend,"2023-06-06",2
telegram,cpp,prof-frontend,"2023-06-06",2
vk,social,dod-php,"2023-06-06",2
vk,social,hexlet.io/my,"2023-06-06",1
yandex-direct,cpc,"68583881","2023-06-06",1
vk,cpc,prof-qa,"2023-06-06",1
vk,social,prof-rails,"2023-06-06",1
vk-senler,cpc,dod-php,"2023-06-06",1
vk,social,kak-dzhunu-napisat-soprovoditelnoe-pis,"2023-06-06",1
telegram.me,social,"7-tipichnyh-oshibok-imenovaniya-peremennyh","2023-06-06",1
vk,social,dod-professions,"2023-06-06",1
telegram,social,hexlet-blog,"2023-06-06",1
slack,social,base_alg,"2023-06-06",1
vk,cpc,python,"2023-06-06",1
vk,social,dod-java,"2023-06-06",1
vk.com,social,na-hekslete-poyavilas-novaya-professiya-v,"2023-06-06",1
twitter,social,hexlet-blog,"2023-06-06",1
twitter,social,course_completed,"2023-06-06",1
vk,social,dod-frontend,"2023-06-06",1
telegram,cpp,prof-data-analytics,"2023-06-06",1
telegram,cpp,base-php,"2023-06-06",1
telegram,cpp,dod-professions,"2023-06-06",1
vk,social,hexlet-blog,"2023-06-06",1
telegram,cpm,python,"2023-06-06",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2023-06-06",1
vk-senler,cpc,dod-professions,"2023-06-06",1
instagram,social,all-courses,"2023-06-06",1
zen,social,hexlet-blog,"2023-06-06",1
go.mail.ru,organic,,"2023-06-06",1
admitad,cpc,"183258","2023-06-06",1
organic,organic,,"2023-06-07",1271
google,organic,,"2023-06-07",1054
vk,cpc,prof-python,"2023-06-07",193
vk,cpc,freemium-frontend,"2023-06-07",173
vk,cpc,prof-java,"2023-06-07",166
vk,cpc,freemium-java,"2023-06-07",113
vk,cpc,freemium-python,"2023-06-07",112
vk,cpc,prof-data-analytics,"2023-06-07",110
vk,cpc,base-python,"2023-06-07",107
vk,cpc,prof-frontend,"2023-06-07",94
admitad,cpa,admitad,"2023-06-07",78
bing.com,organic,,"2023-06-07",66
telegram,cpp,base-frontend,"2023-06-07",40
vk-senler,cpc,freemium,"2023-06-07",25
telegram,cpp,base-python,"2023-06-07",17
vk,cpm,prof-data-analytics,"2023-06-07",13
vk,cpp,base-frontend,"2023-06-07",10
tproger,cpc,dod-frontend,"2023-06-07",9
vk,social,base-python,"2023-06-07",9
telegram,cpp,prof-java,"2023-06-07",9
telegram,cpp,dod-java,"2023-06-07",9
yandex.com,organic,,"2023-06-07",6
telegram,cpp,base-java,"2023-06-07",5
telegram,cpp,prof-python,"2023-06-07",5
vk,social,prof-python,"2023-06-07",4
vk,social,base-java,"2023-06-07",4
vk,social,general,"2023-06-07",3
vk,social,hexlet-blog,"2023-06-07",3
telegram,social,course_completed,"2023-06-07",2
baidu.com,organic,,"2023-06-07",2
vk,social,all-courses,"2023-06-07",2
telegram,social,promo,"2023-06-07",2
vk,social,prof-frontend,"2023-06-07",2
instagram,social,prof-python,"2023-06-07",1
telegram,social,,"2023-06-07",1
vk,social,promo,"2023-06-07",1
telegram,social,webinars,"2023-06-07",1
vk,social,reshenie-zadach--horoshiy-sposob-zakrepit,"2023-06-07",1
public,social,open_lectures23,"2023-06-07",1
telegram,social,hexlet-blog,"2023-06-07",1
instagram,social,hexlet-blog,"2023-06-07",1
telegram,cpm,java,"2023-06-07",1
vk-senler,cpc,dod-frontend,"2023-06-07",1
vk,social,base-frontend,"2023-06-07",1
telegram,cpp,dod-frontend,"2023-06-07",1
facebook,social,course_completed,"2023-06-07",1
facebook,cpc,python,"2023-06-07",1
botmother,tg,frontend,"2023-06-07",1
vk,cpm,prof-frontend,"2023-06-07",1
telegram,cpp,prof-frontend,"2023-06-07",1
twitter,social,hexlet-blog,"2023-06-07",1
yandex-direct,cpc,"51752512","2023-06-07",1
vk,cpc,prof-qa,"2023-06-07",1
vk,cpc,frontend,"2023-06-07",1
admitad,cpc,"442763","2023-06-07",1
telegram,social,base-python,"2023-06-07",1
vk,cpc,base,"2023-06-07",1
zen,social,prof-frontend,"2023-06-07",1
zen,social,hexlet-blog,"2023-06-07",1
twitter,social,promo,"2023-06-07",1
telegram,social,glavnye-instrumenty--servisy-i-podhody,"2023-06-07",1
instagram,social,taplink,"2023-06-07",1
vk,social,prof-data-analytics,"2023-06-07",1
google,organic,,"2023-06-08",6169
organic,organic,,"2023-06-08",1946
vk,cpc,freemium-frontend,"2023-06-08",197
vk,cpc,prof-python,"2023-06-08",194
vk,cpc,prof-java,"2023-06-08",172
vk,cpc,prof-data-analytics,"2023-06-08",135
vk,cpc,freemium-java,"2023-06-08",124
vk,cpc,prof-frontend,"2023-06-08",117
vk,cpc,freemium-python,"2023-06-08",113
vk,cpc,base-python,"2023-06-08",111
admitad,cpa,admitad,"2023-06-08",79
bing.com,organic,,"2023-06-08",56
timepad,cpp,base-frontend,"2023-06-08",47
telegram,cpp,base-frontend,"2023-06-08",24
telegram,cpp,prof-python,"2023-06-08",20
vk,cpm,prof-data-analytics,"2023-06-08",17
vk-senler,cpc,freemium,"2023-06-08",16
vk,cpp,base-frontend,"2023-06-08",15
tproger,cpc,dod-frontend,"2023-06-08",12
telegram,cpp,base-python,"2023-06-08",9
baidu.com,organic,,"2023-06-08",4
vk,social,hexlet-blog,"2023-06-08",4
vk,social,general,"2023-06-08",4
telegram,cpp,dod-frontend,"2023-06-08",4
telegram,cpp,prof-java,"2023-06-08",4
