"source","medium","campaign","created_at","leads_count"
vk-senler,cpc,dod-frontend,"2023-06-14",5
yandex,cpc,prof-python,"2023-06-14",5
vk,cpc,base-python,"2023-06-14",4
vk,cpc,prof-java,"2023-06-14",4
yandex,cpc,prof-java,"2023-06-14",3
vk,cpc,freemium-python,"2023-06-14",3
yandex,cpc,base-java,"2023-06-14",3
vk,cpc,prof-python,"2023-06-14",3
vk,cpc,prof-frontend,"2023-06-14",2
telegram,social,hexlet-blog,"2023-06-14",2
yandex,cpc,prof-professions-retarget,"2023-06-14",2
yandex,cpc,base-python,"2023-06-14",1
vk,cpc,freemium-frontend,"2023-06-14",1
vk,social,hexlet-blog,"2023-06-14",1
yandex,cpc,dod-php,"2023-06-14",1
yandex,cpc,base-professions-retarget,"2023-06-14",1
yandex,cpc,prof-data-analytics,"2023-06-14",1
google,organic,,"2023-06-15",49
organic,organic,,"2023-06-15",14
vk,cpc,prof-python,"2023-06-15",11
yandex,cpc,prof-frontend,"2023-06-15",10
yandex,cpc,freemium,"2023-06-15",8
yandex,cpc,base-frontend,"2023-06-15",6
vk,cpc,base-python,"2023-06-15",5
yandex,cpc,prof-java,"2023-06-15",5
vk,cpc,freemium-frontend,"2023-06-15",5
yandex,cpc,prof-professions-brand,"2023-06-15",5
vk,cpc,freemium-java,"2023-06-15",4
vk,cpc,freemium-python,"2023-06-15",4
yandex,cpc,prof-python,"2023-06-15",3
yandex,cpc,base-python,"2023-06-15",3
vc,cpp,dod-frontend,"2023-06-15",2
vk,cpc,prof-frontend,"2023-06-15",2
vk,cpc,prof-java,"2023-06-15",2
yandex,cpc,prof-professions-retarget,"2023-06-15",2
yandex,cpc,prof-data-analytics,"2023-06-15",1
vk,cpc,prof-data-analytics,"2023-06-15",1
yandex,cpc,base-java,"2023-06-15",1
telegram,cpp,prof-python,"2023-06-15",1
yandex,cpc,dod-java,"2023-06-15",1
telegram,social,dod-professions,"2023-06-15",1
telegram,social,hexlet-blog,"2023-06-15",1
dzen,social,dzen_post,"2023-06-15",1
google,organic,,"2023-06-16",26
organic,organic,,"2023-06-16",10
vk,cpc,prof-java,"2023-06-16",6
yandex,cpc,prof-python,"2023-06-16",5
yandex,cpc,prof-java,"2023-06-16",5
vk,cpc,base-python,"2023-06-16",4
vk,cpc,prof-python,"2023-06-16",4
vk,cpc,prof-data-analytics,"2023-06-16",4
vk,cpc,freemium-frontend,"2023-06-16",4
yandex,cpc,prof-frontend,"2023-06-16",3
vk,cpc,freemium-python,"2023-06-16",3
yandex,cpc,dod-frontend,"2023-06-16",2
yandex,cpc,freemium,"2023-06-16",2
yandex,cpc,prof-data-analytics,"2023-06-16",1
yandex,cpc,base-frontend,"2023-06-16",1
yandex,cpc,dod-professions,"2023-06-16",1
yandex,cpc,prof-professions-brand,"2023-06-16",1
vk,cpc,prof-frontend,"2023-06-16",1
google,organic,,"2023-06-17",18
organic,organic,,"2023-06-17",8
yandex,cpc,prof-python,"2023-06-17",4
yandex,cpc,prof-frontend,"2023-06-17",3
vk,cpc,freemium-frontend,"2023-06-17",3
yandex,cpc,base-frontend,"2023-06-17",3
vk,cpc,prof-python,"2023-06-17",2
yandex,cpc,prof-professions-brand,"2023-06-17",2
vk,cpc,prof-java,"2023-06-17",2
yandex,cpc,freemium,"2023-06-17",2
yandex,cpc,base-java,"2023-06-17",2
vk,cpc,base-python,"2023-06-17",2
yandex,cpc,prof-data-analytics,"2023-06-17",2
yandex,cpc,base-python,"2023-06-17",1
yandex,cpc,prof-java,"2023-06-17",1
vk,cpc,prof-frontend,"2023-06-17",1
vk,cpc,prof-data-analytics,"2023-06-17",1
vk,cpc,freemium-python,"2023-06-17",1
google,organic,,"2023-06-18",31
organic,organic,,"2023-06-18",11
yandex,cpc,freemium,"2023-06-18",9
yandex,cpc,prof-frontend,"2023-06-18",6
vk,cpc,freemium-frontend,"2023-06-18",5
vk,cpc,base-python,"2023-06-18",3
vk,cpc,prof-java,"2023-06-18",2
vk,cpc,freemium-java,"2023-06-18",2
yandex,cpc,base-java,"2023-06-18",2
yandex,cpc,prof-professions-brand,"2023-06-18",2
yandex,cpc,prof-python,"2023-06-18",2
vk,cpm,prof-data-analytics,"2023-06-18",1
vk,cpc,prof-python,"2023-06-18",1
yandex,cpc,base-frontend,"2023-06-18",1
yandex,cpc,dod-professions,"2023-06-18",1
admitad,cpa,admitad,"2023-06-18",1
vk,cpc,prof-data-analytics,"2023-06-18",1
yandex,cpc,prof-java,"2023-06-18",1
vk,cpc,prof-frontend,"2023-06-18",1
yandex,cpc,dod-php,"2023-06-18",1
yandex,cpc,base-professions-retarget,"2023-06-18",1
google,organic,,"2023-06-19",38
organic,organic,,"2023-06-19",12
vk,cpc,freemium-frontend,"2023-06-19",6
yandex,cpc,prof-python,"2023-06-19",6
yandex,cpc,prof-java,"2023-06-19",5
vk,cpc,prof-java,"2023-06-19",4
yandex,cpc,freemium,"2023-06-19",4
vk,cpc,prof-python,"2023-06-19",3
vk,cpc,freemium-java,"2023-06-19",3
vk,cpc,prof-data-analytics,"2023-06-19",2
yandex,cpc,base-java,"2023-06-19",2
vk,cpc,prof-frontend,"2023-06-19",2
yandex,cpc,prof-frontend,"2023-06-19",2
yandex,cpc,base-python,"2023-06-19",1
yandex,cpc,prof-professions-brand,"2023-06-19",1
vk,cpm,prof-data-analytics,"2023-06-19",1
vk,social,prof-python,"2023-06-19",1
vk,cpc,base-python,"2023-06-19",1
vk,cpc,freemium-python,"2023-06-19",1
google,organic,,"2023-06-20",81
yandex,cpc,freemium,"2023-06-20",9
organic,organic,,"2023-06-20",8
yandex,cpc,prof-frontend,"2023-06-20",7
vk,cpc,freemium-frontend,"2023-06-20",5
yandex,cpc,prof-java,"2023-06-20",4
telegram,social,dod-professions,"2023-06-20",4
yandex,cpc,base-frontend,"2023-06-20",3
yandex,cpc,prof-python,"2023-06-20",3
telegram,cpp,dod-professions,"2023-06-20",2
vk,cpc,prof-java,"2023-06-20",2
vk,cpc,base-python,"2023-06-20",2
yandex,cpc,prof-data-analytics,"2023-06-20",2
vk,cpc,prof-python,"2023-06-20",2
vk,cpc,prof-data-analytics,"2023-06-20",2
vk,cpc,freemium-java,"2023-06-20",1
vc,cpp,dod-professions,"2023-06-20",1
vk,cpc,prof-frontend,"2023-06-20",1
yandex,cpc,dod-python-java,"2023-06-20",1
yandex,cpc,base-python,"2023-06-20",1
yandex,cpc,dod-frontend,"2023-06-20",1
vk,cpc,freemium-python,"2023-06-20",1
instagram,social,prof-qa-auto,"2023-06-20",1
google,organic,,"2023-06-21",27
yandex,cpc,freemium,"2023-06-21",11
yandex,cpc,prof-python,"2023-06-21",6
organic,organic,,"2023-06-21",6
yandex,cpc,prof-frontend,"2023-06-21",6
vk,cpc,prof-python,"2023-06-21",4
vk,cpc,freemium-frontend,"2023-06-21",4
vk,cpc,base-python,"2023-06-21",3
yandex,cpc,prof-java,"2023-06-21",3
vk,cpc,prof-frontend,"2023-06-21",3
vk,cpc,prof-data-analytics,"2023-06-21",2
yandex,cpc,prof-professions-brand,"2023-06-21",2
vk,cpc,freemium-python,"2023-06-21",2
